"ASIN","Locale","Image","Title","Bought in past month","Buy Box: Current","Amazon: Current","Buy Box: 90 days avg.","Buy Box: 90 days drop %","New Offer Count: Current","Sales Rank: 90 days avg.","Sales Rank: 90 days drop %","Sales Rank: Drops last 90 days","Sales Rank: Reference","Sales Rank: Display Group","Sales Rank: Subcategory Sales Ranks","Sales Rank: Current","90 days change % monthly sold","Return Rate","Reviews: Rating","Reviews: Rating Count","Reviews: Rating Count - 90 days drop %","Reviews: Review Count - Format Specific","Last Price Change","Buy Box: Shipping Costs","Buy Box: 30 days avg.","Buy Box: 180 days avg.","Buy Box: 365 days avg.","Buy Box: 1 day drop %","Buy Box: 7 days drop %","Buy Box: 30 days drop %","Buy Box: Is Lowest","Buy Box: Is Lowest 90 days","Buy Box: Lowest","Buy Box: Highest","Buy Box: Stock","Buy Box: 90 days OOS","Buy Box: Buy Box Seller","Buy Box: Shipping Country","Buy Box: Availability of the Buy Box","Buy Box: Shipping time","Buy Box: Strikethrough Price","Buy Box: Strikethrough Price Type","Buy Box: % Amazon 30 days","Buy Box: % Amazon 90 days","Buy Box: % Amazon 180 days","Buy Box: % Amazon 365 days","Buy Box: % Top Seller 30 days","Buy Box: % Top Seller 90 days","Buy Box: % Top Seller 180 days","Buy Box: % Top Seller 365 days","Buy Box: Winner Count 30 days","Buy Box: Winner Count 90 days","Buy Box: Winner Count 180 days","Buy Box: Winner Count 365 days","Buy Box: Standard Deviation 30 days","Buy Box: Standard Deviation 90 days","Buy Box: Standard Deviation 365 days","Buy Box: Flipability 30 days","Buy Box: Flipability 90 days","Buy Box: Flipability 365 days","Buy Box: Is FBA","Buy Box: Unqualified","Buy Box: Pre-order","Buy Box: Back-order","Buy Box: Prime exclusive","Buy Box: Prime Eligible","Buy Box: Subscribe & Save","Amazon: 30 days avg.","Amazon: 30 days drop %","Amazon: Stock","Amazon: OOS Count 30 days","New: Current","New: 30 days avg.","New: 30 days drop %","New, 3rd Party FBA: Current","New, 3rd Party FBA: 30 days avg.","New, 3rd Party FBA: 30 days drop %","New, 3rd Party FBA: Stock","FBA Pick&Pack Fee","Referral Fee %","Referral Fee based on current Buy Box price","New, 3rd Party FBM: Current","New, 3rd Party FBM: 30 days avg.","New, 3rd Party FBM: 30 days drop %","New, 3rd Party FBM: Stock","New, Prime exclusive: Current","New, Prime exclusive: 30 days avg.","New, Prime exclusive: 30 days drop %","Lightning Deals: Current","Buy Box Used: Current","Buy Box Used: 90 days avg.","Buy Box Used: 90 days drop %","Buy Box Used: Buy Box Used Seller","Buy Box Used: Is FBA","Buy Box Used: Condition","Used: Current","Used: 90 days avg.","Used: 90 days drop %","Used: 90 days OOS","Used, like new: Current","Used, like new: 90 days avg.","Used, like new: 90 days drop %","Used, very good: Current","Used, very good: 90 days avg.","Used, very good: 90 days drop %","Used, good: Current","Used, good: 90 days avg.","Used, good: 90 days drop %","Used, acceptable: Current","Used, acceptable: 90 days avg.","Used, acceptable: 90 days drop %","Warehouse Deals: Current","Warehouse Deals: 90 days avg.","Warehouse Deals: 90 days drop %","List Price: Current","List Price: 30 days avg.","List Price: 30 days drop %","Total Offer Count","New Offer Count: 30 days avg.","New Offer Count: 30 days drop %","Used Offer Count: Current","Used Offer Count: 90 days avg.","Tracking since","Listed since","URL: URL slug","Categories: Root","Categories: Sub","Categories: Tree","Website Display Group: Name","Product Codes: UPC","Product Codes: EAN","Product Codes: GTIN","Product Codes: PartNumber","Parent ASIN","Freq. Bought Together","Type","Manufacturer","Brand","Brand Store Name","Brand Store URL Name","Model","Variation Attributes","Color","Size","Unit Details: Unit Value","Unit Details: Unit Type","Scent","Item Form","Pattern","Style","Material","Item Type","Target Audience","Recommended Uses","Specific Uses","Product Benefit","Edition","Format","Author","Contributors","Binding","Number of Items","Number of Pages","Publication Date","Release Date","Languages","Videos: Video Count","Videos: Has Main Video","Videos: Main Videos","Videos: Additional Videos","A+ Content: Has A+ Content","Package: Dimension (cm³)","Package: Weight (g)","Package: Quantity","Item: Dimension (cm³)","Item: Weight (g)","Included Components","Ingredients","Active Ingredients","Special Ingredients","Safety Warning","Batteries Required","Batteries Included","Hazardous Materials","Is HazMat","Is heat sensitive","Adult Product","Is Merch on Demand","Trade-In Eligible","Deals: Deal Type","Deals: Badge","One Time Coupon: Absolute","One Time Coupon: Percentage","One Time Coupon: Subscribe & Save %","Business Discount: Percentage"
"B009LHWV8M","co.uk","https://m.media-amazon.com/images/I/41JrqeJcsQS.jpg;https://m.media-amazon.com/images/I/41S7KvZIz8S.jpg","AURORA, 40441, Mini Flopsies Spring Collection Quacker, 6In, Soft Toy, Yellow","300","6.99","6.99","8.07","13 %","5","9216","84 %","180","Toys & Games","toy_display_on_website","# 25 | Top 0.11% | Stuffed Animals","1432","-54 %","","4.6","855","-1 %","109","2026/03/04 09:00","","7.31","7.81","7.65","0 %","0 %","4 %","no","yes","5.13","13.15","5","1 %","Amazon","","In stock","","-","","100 %","87 %","89 %","91 %","100 %","87 %","89 %","91 %","1","3","5","6","0.60","1.16","1.27","8","48","67","yes","no","no","no","no","yes","no","7.31","4 %","5","0","6.99","7.30","4 %","","","","","2.67","15.02 %","1.05","10.37","10.37","0 %","67","","","","","","","","","no","","","","","100 %","","","","","","","","","","","","","","","","6.99","6.99","0 %","5","5","0 %","","","2013/03/20","2012/08/21","AURORA-Flopsies-Spring-Collection-Quacker","Toys & Games","Stuffed Animals, Toys Category Page, Soft Toys, Toys & Figures, Toys All, Figures and Playsets, Dolls and Accessories, Soft toys, toys, Amazon Super | Toys, CML Toys new, Top brands Toys, Hardlines No Buyable Offer Test Q1 2016 sebasp@","Toys & Games › Soft Toys › Stuffed Animals","Toy","","5034566404410","05034566404410","40441","B0BY2FZSQ7","","TOY_FIGURE","Aurora","AURORA","AURORA","AuroraWorld","40441","Style: Single;","Yellow","Small","1","weight","","","","Single","Polyester","","Unisex Children","cuddling, collecting, gifting to newborns or young children","","","Regular","","","","Toy","","","","","English","1","yes","[{""creator"":""Creator: Main"",""image"":""https://m.media-amazon.com/images/I/61dHV7HlPjL.jpg"",""url"":""https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/16101b16-496d-4486-afbb-c256c7d646dd/default.vertical.jobtemplate.hls.m3u8""}]","","yes","2887","90","1","124","90","","","","","","no","no","","no","no","no","no","no","","","-","","",""
"B016XRTTAA","co.uk","https://m.media-amazon.com/images/I/41kz7N6qJSL.jpg;https://m.media-amazon.com/images/I/41gftwi6WLL.jpg;https://m.media-amazon.com/images/I/41956necrXL.jpg;https://m.media-amazon.com/images/I/21HFgABRtEL.jpg;https://m.media-amazon.com/images/I/31Kc6jPCwhL.jpg","Aurora Gruffalo, Official Merchandise, 60573, The Stick Man, Soft Toy, Brown, 15 cm","800","11.44","11.98","11.73","2 %","20","776","-91 %","145","Toys & Games","toy_display_on_website","# 36 | Top 0.01% | Soft Toys","1483","44 %","","4.7","3949","-1 %","-","2026/03/25 16:32","","11.79","11.14","11.46","0 %","5 %","3 %","no","no","3.57","38.59","21","0 %","Mad-4-Toys Ltd (85%) / A2F06GBNBBVT5Q","GB","In stock","1 day","14.99","LIST_PRICE","20 %","49 %","67 %","64 %","52 %","49 %","67 %","64 %","6","10","11","13","1.30","1.14","1.26","72","81","64","no","no","no","no","no","no","no","12.30","3 %","1000","0","11.44","11.40","0 %","11.48","12.53","8 %","83","2.67","15.03 %","1.72","11.44","11.44","0 %","228","","","","","","","","","no","","15.73","15.73","0 %","94 %","15.73","15.73","0 %","","","","","","","","","","","","","14.99","14.99","0 %","21","19","-5 %","1","1","2015/11/26","2015/10/21","Stickman-60573-Character-Gruffalo-brown","Toys & Games","Soft Toys, Toys Category Page, Dolls & Soft Toys, Toys & Figures, Toys All, Figures and Playsets, Dolls and Accessories, Soft toys, toys, Amazon Super | Toys, Top brands Toys, Hardlines No Buyable Offer Test Q1 2016 sebasp@","Toys & Games › Soft Toys","Toy","777904190839","0777904190839, 5034566605732, 5034566605763","05034566605732","60573","","1407170716,B0FFN7Y4CB","TOY_FIGURE","The Gruffalo- Stick Man Plush","AURORA","AURORA","AuroraWorld","60573","","Brown","30,5 cm","1","1","","","","Single","Cotton","","","","","","","","","","","1","","","","English: Published; English: Original Language; English","2","yes","[{""creator"":""Creator: Main"",""image"":""https://m.media-amazon.com/images/I/41swF1roaOL.jpg"",""url"":""https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/5d725ec9-eb7b-4bc8-812b-a6f6f295bf74/default.jobtemplate.hls.m3u8""},{""creator"":""Creator: Main"",""image"":""https://m.media-amazon.com/images/I/51D-0DZdwUL.jpg"",""url"":""https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/7595e594-5235-4dc0-9ccd-3a1030b18ffd/default.jobtemplate.hls.m3u8""}]","","yes","4929","60","1","5120","60","Stickman Soft Toy, 60573, Character From The Gruffalo, Brown, 13in, as seen in Series","","","","","no","no","","no","no","no","no","no","","","-","","",""
"B07Z548BFY","co.uk","https://m.media-amazon.com/images/I/51iD1RVYkMS.jpg;https://m.media-amazon.com/images/I/41MMM1qTsQS.jpg;https://m.media-amazon.com/images/I/41OCAtcro-S.jpg;https://m.media-amazon.com/images/I/517xxB-GsjS.jpg;https://m.media-amazon.com/images/I/31rZK7WR32L.jpg;https://m.media-amazon.com/images/I/31nNLXmwuwL.jpg;https://m.media-amazon.com/images/I/31x8zoicR5S.jpg","Aurora Palm Pals, Betsy The Chick Soft Toy, 61244, 5 inches, Yellow","500","8.99","8.76","7.93","-13 %","14","8624","82 %","94","Toys & Games","toy_display_on_website","# 29 | Top 0.05% | Stuffed Animals","1526","-151 %","","4.6","906","-2 %","140","2026/03/25 16:00","","7.41","8.45","8.21","-3 %","-11 %","-21 %","no","no","4.45","16.75","193","1 %","Joytasia (88%) / A34AOO9YNIW6M7","GB","In stock","","-","","72 %","81 %","78 %","57 %","72 %","81 %","78 %","57 %","5","7","12","17","0.78","1.45","1.35","71","80","76","no","no","no","no","no","no","no","7.21","-21 %","1000","0","6.21","7.12","13 %","12.22","12.81","5 %","","2.67","14.95 %","1.34","8.81","8.13","-8 %","820","","","","","","","","","no","","","","","100 %","","","","","","","","","","","","","","","","8.99","8.99","0 %","14","14","0 %","","","2020/01/17","2020/01/01","Aurora-Betsy-Chick-inches-Yellow","Toys & Games","Stuffed Animals, Toys Category Page, Toys & Figures, Toys All, Kids Toys, CML Toys new, Top brands Toys, Hardlines No Buyable Offer Test Q1 2016 sebasp@","Toys & Games › Soft Toys › Stuffed Animals","Toy","","5034566612440","05034566612440","61244","B0BY2PS6WD","B07Z5351S4,B07Z5417H2","TOY_FIGURE","Aurora World","AURORA","AURORA","AuroraWorld","61244","Style: Single;","Yellow","5 cm","1","soft toy","","","","Single","Polyester","","Unisex Adult","Playtime, Collecting","","","","","","","Toy","","","","","English","1","yes","[{""creator"":""Creator: Main"",""image"":""https://m.media-amazon.com/images/I/7150ItDl9mL.jpg"",""url"":""https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/1809028b-7a81-4162-9307-4891077e16cc/default.vertical.jobtemplate.hls.m3u8""}]","","yes","2248","80","1","1150","","Soft toy","","","","","no","no","","no","no","no","no","no","","","-","","",""
"B07Z5417H2","co.uk","https://m.media-amazon.com/images/I/51WiVIZ1LaL.jpg;https://m.media-amazon.com/images/I/31leHo+kyHL.jpg;https://m.media-amazon.com/images/I/31eVTXvHDML.jpg;https://m.media-amazon.com/images/I/21Lq6jkudlL.jpg;https://m.media-amazon.com/images/I/51kckK2cE8L.jpg;https://m.media-amazon.com/images/I/31+ZiygIXzL.jpg","Aurora Palm Pals, Woolly The Lamb, Soft Toy, 33483, 5 inches, White","400","8.61","8.61","7.10","-21 %","17","7705","75 %","156","Toys & Games","toy_display_on_website","# 40 | Top 0.06% | Stuffed Animals","1895","-138 %","","4.8","546","-1 %","83","2026/03/25 14:44","","7.14","7.28","8.28","-4 %","-14 %","-21 %","no","no","6.15","13.20","1000","1 %","Amazon","","In stock","","8.99","LIST_PRICE","94 %","64 %","65 %","37 %","94 %","64 %","65 %","37 %","4","7","8","17","0.43","0.34","1.47","4","34","42","yes","no","no","no","no","yes","no","7.15","-20 %","1000","0","7.99","6.85","-17 %","13.06","13.06","0 %","","2.65","15.06 %","1.30","7.99","7.01","-14 %","596","","","","","","","","","no","","","","","100 %","","","","","","","","","","","","","","","","8.99","8.99","0 %","17","19","11 %","","","2020/01/17","2020/01/01","Aurora-Woolly-33483-inches-White","Toys & Games","Stuffed Animals, Toys Category Page, Toys & Figures, Toys All, Figures and Playsets, Dolls and Accessories, Soft toys, toys, CML Toys new, Top brands Toys, Hardlines No Buyable Offer Test Q1 2016 sebasp@","Toys & Games › Soft Toys › Stuffed Animals","Toy","","5034566334830","05034566334830","33483","B0BHWQZSLD","B07Z548BFY,B07Z5351S4","TOY_FIGURE","Aurora World","AURORA","AURORA","AuroraWorld","33483","Style: Single;","White","Palm-sized","1","soft toy","","","","Single","Polyester","","Unisex Adult","","","","","","","","Toy","","","","","English","0","no","","","no","724","10","1","1150","","Soft toy","","","","","no","no","United Nations Regulatory Id: kd1480;","no","no","no","no","no","","","-","","",""
"B0DGLLG2NG","co.uk","https://m.media-amazon.com/images/I/51IKBI27QAL.jpg;https://m.media-amazon.com/images/I/31qjHP-LjCL.jpg;https://m.media-amazon.com/images/I/31pv66OKoXL.jpg;https://m.media-amazon.com/images/I/31yxB9kZ9YL.jpg;https://m.media-amazon.com/images/I/51IX4m6OD1L.jpg;https://m.media-amazon.com/images/I/61QL9aKjpbL.jpg;https://m.media-amazon.com/images/I/51dg6eziR-L.jpg","Aurora, 33902, Palm Pals Happy Birthday Cake 5In, Soft Toy, White","500","8.99","8.99","8.53","-5 %","15","2059","1 %","170","Toys & Games","toy_display_on_website","# 45 | Top 0.03% | Stuffed Animals","2040","11 %","","4.7","48","-23 %","-","2026/03/25 15:52","","8.49","8.33","8.89","0 %","-2 %","-6 %","no","no","6.50","12.99","1000","1 %","Amazon","","In stock","","-","","57 %","60 %","55 %","33 %","57 %","60 %","55 %","33 %","6","7","9","17","0.97","0.91","1.38","71","69","71","yes","no","no","no","no","yes","no","8.47","-6 %","1000","1","7.68","8.01","4 %","8.98","9.64","7 %","406","2.67","15.02 %","1.35","9.67","8.38","-15 %","266","","","","","","","","","no","","","","","100 %","","","","","","","","","","","","","","","","8.99","8.99","0 %","15","17","12 %","","","2024/10/28","2024/10/25","Aurora-33902-Happy-Birthday-White","Toys & Games","Stuffed Animals, Toys Category Page, Top brands Toys, Hardlines No Buyable Offer Test Q1 2016 sebasp@","Toys & Games › Soft Toys › Stuffed Animals","Toy","","5034566339026","05034566339026","33902","","","TOY_FIGURE","AURORA","AURORA","AURORA","AuroraWorld","33902","","White","6.3 inches tall","1","count","","","","Christmas","Polyester","","Unisex Children","Birthday gift, cuddly toy","","","regular","","","","Toy","","","","2024-10-25","","0","no","","","no","1545","80","1","1584","80","","","","","Suitable from Birth","no","no","United Nations Regulatory Id: 140502;","no","no","no","no","no","","","-","","",""
"B0D1KZHYDM","co.uk","https://m.media-amazon.com/images/I/61gFHuplPbL.jpg;https://m.media-amazon.com/images/I/41c1727o98L.jpg;https://m.media-amazon.com/images/I/41-oUZzwKxL.jpg;https://m.media-amazon.com/images/I/41vp6XdgGBL.jpg;https://m.media-amazon.com/images/I/616svBPsiZL.jpg;https://m.media-amazon.com/images/I/61cjs9nUeKL.jpg","AURORA, Official Merchandise, 61615, The Gruffalo Palm Pals, Soft Toy, Brown","400","6.99","6.99","9.86","29 %","11","3486","37 %","146","Toys & Games","toy_display_on_website","# 49 | Top 0.05% | Stuffed Animals","2208","14 %","","4.1","88","-37 %","-","2026/03/25 13:16","","9.64","9.47","9.54","13 %","25 %","27 %","yes","yes","6.99","12.99","5","1 %","Amazon","","In stock","","12.99","LIST_PRICE","98 %","98 %","93 %","96 %","98 %","98 %","93 %","96 %","2","4","4","4","0.62","0.43","0.87","9","52","70","yes","no","no","no","no","yes","no","9.64","27 %","5","0","6.99","9.28","25 %","11.73","11.32","-4 %","94","2.67","15.02 %","1.05","11.20","10.13","-11 %","462","","","","","","","","","no","","","","","100 %","","","","","","","","","","","","","","","","12.99","12.99","0 %","11","11","0 %","","","2024/08/17","2024/08/13","AURORA-Official-Merchandise-61615-Gruffalo","Toys & Games","Stuffed Animals, Toys Category Page, Kids Toys, Top brands Toys, Hardlines No Buyable Offer Test Q1 2016 sebasp@","Toys & Games › Soft Toys › Stuffed Animals","Toy","","5034566616158","","61615","","","PUPPET","AURORA","AURORA","AURORA","AuroraWorld","61615","","Brown","Miniature","1","count","","","","Christmas","Polyester","","Unisex Children","","","","","","","","Toy","","","","2024-08-13","","0","no","","","no","2559","80","1","1320","80","","","","","Suitable from Birth","no","no","","no","no","no","no","no","","","-","","",""
"B07SB198MC","co.uk","https://m.media-amazon.com/images/I/41LUzGDJE5L.jpg;https://m.media-amazon.com/images/I/41roL8UE5UL.jpg;https://m.media-amazon.com/images/I/51EtRGbdgmL.jpg;https://m.media-amazon.com/images/I/51HGIMTqERL.jpg;https://m.media-amazon.com/images/I/51j+j21+-7L.jpg;https://m.media-amazon.com/images/I/61kwko-yDXL.jpg;https://m.media-amazon.com/images/I/41LUzGDJE5L.jpg","Aurora Snail and The Whale Soft Toy, 61238, 7in, Grey, for Fans of The Book by Julia Donaldson and Axel Scheffler, Blue , 20 x 33 x 9 centimeters","400","14.95","14.99","14.21","-5 %","18","3213","24 %","199","Toys & Games","toy_display_on_website","# 57 | Top 0.04% | Stuffed Animals","2457","13 %","","4.8","2218","-1 %","-","2026/03/25 11:16","","14.05","13.55","13.27","-17 %","-14 %","-6 %","no","no","9.18","36.63","1","3 %","Bargains 4 Ever (83%) / A35HNEJQPN2OT3","GB","Only 9 left in stock.","","18.99","LIST_PRICE","41 %","67 %","67 %","67 %","41 %","67 %","67 %","67 %","3","8","8","10","1.18","1.26","1.61","66","69","57","no","no","no","no","no","yes","no","15.05","0 %","1000","0","14.95","14.00","-7 %","15.38","15.39","0 %","25","3.26","14.98 %","2.24","14.95","14.47","-3 %","190","","","","","","","","","no","","","13.72","","92 %","","13.97","","","","","","","","","","","","13.97","","18.99","18.99","0 %","18","18","0 %","","1","2019/06/17","2019/07/03","Snail-Whale-61238-Donaldson-Scheffler","Toys & Games","Stuffed Animals, Toys Category Page, Toys & Figures, Toys All, Kids Toys, CML Toys new, Top brands Toys, Hardlines No Buyable Offer Test Q1 2016 sebasp@","Toys & Games › Soft Toys › Stuffed Animals","Toy","","5034566612389","05034566612389","61238","","","TOY_FIGURE","Aurora World","AURORA","AURORA","AuroraWorld","61238","","Blue","20 x 33 x 9 centimeters","1","soft toy","","","","Single","Cotton","","Unisex Adult","Play, storytelling, cuddling","","","","","","NA: Other","","1","","","2019-10-17","English: Published; English","1","yes","[{""creator"":""Creator: Main"",""image"":""https://m.media-amazon.com/images/I/41VCKY6VuQL.jpg"",""url"":""https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/70d71b6d-d097-47f5-9dc7-bc9389ec0b7a/default.jobtemplate.hls.m3u8""}]","","yes","5233","490","1","5940","80","soft toy","","","","","no","no","","no","no","no","no","no","","","-","","",""
"B002TVAJT0","co.uk","https://m.media-amazon.com/images/I/81nkCXoiNLL.jpg;https://m.media-amazon.com/images/I/913rK3Np1SL.jpg;https://m.media-amazon.com/images/I/91VEzL7haRL.jpg;https://m.media-amazon.com/images/I/819RZGCTB2L.jpg;https://m.media-amazon.com/images/I/31RO42aZ9YL.jpg","The Gruffalo soft toy, 12454, Brown, 9in, As Seen In The Gruffalo TV series, Medium","200","12.25","12.25","15.61","22 %","14","6985","62 %","130","Toys & Games","toy_display_on_website","# 66 | Top 0.11% | Stuffed Animals","2625","6 %","","4.7","2258","-1 %","511","2026/03/25 08:00","","15.19","16.38","16.76","0 %","15 %","19 %","no","yes","7.99","25.03","5","0 %","Amazon","","In stock","","24.99","LIST_PRICE","35 %","69 %","61 %","62 %","65 %","69 %","61 %","62 %","2","6","8","13","0.91","0.83","1.70","5","12","37","yes","no","no","no","no","yes","no","15.18","19 %","5","0","12.25","15.16","19 %","12.25","17.39","30 %","1","3.48","15.02 %","1.84","15.42","15.44","0 %","216","","","","","","","","","no","","","","","100 %","","","","","","","","","","","","","","","","24.99","24.99","0 %","14","13","-8 %","","","2011/03/24","2009/10/22","Gruffalo-soft-12454-Brown-Seen","Toys & Games","Stuffed Animals, Toys Category Page, Dolls & Soft Toys, Up to 60% Off Selected Toys & Games, Special Offers on Selected Toys & Games, Toys & Figures, Toys All, Figures and Playsets, Dolls and Accessories, Soft toys, toys, Character Soft Toys, Deal of the Day: Up to 40% Off Selected Toys & Games, CML Toys new, Top brands Toys, Stocking Fillers, Hardlines No Buyable Offer Test Q1 2016 sebasp@","Toys & Games › Soft Toys › Stuffed Animals","Toy","","5034566124547","05034566124547","12454","B08SLBL5ZG","","TOY_FIGURE","Aurora","AURORA","AURORA","AuroraWorld","12454","Style: Single;","Brown","Medium","1","soft toy","","","","Single","Polyester","","Unisex Children","story telling, hugging or decoration","","","","","","","Toy","","","","2010-05-01","English: Published; English: Original Language; English","1","yes","[{""creator"":""Creator: Main"",""image"":""https://m.media-amazon.com/images/I/61kSHNcvvFL.jpg"",""url"":""https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/fed71743-a00d-4ddb-92dd-79d6025a33db/default.vertical.jobtemplate.hls.m3u8""}]","","yes","8727","141","1","498","130","Soft toy","","","","Suitable from 36 months","no","no","","no","no","no","no","no","","","-","","",""
"B0D1CJZY9Q","co.uk","https://m.media-amazon.com/images/I/41U1BGDFwJL.jpg;https://m.media-amazon.com/images/I/51Ah9mXZOSS.jpg;https://m.media-amazon.com/images/I/51fHS8yuD+S.jpg;https://m.media-amazon.com/images/I/51vmOzdw1hS.jpg;https://m.media-amazon.com/images/I/31xNix0if0L.jpg;https://m.media-amazon.com/images/I/41DtzlZ-DZS.jpg","AURORA Palm Pals, Ella the Bunny Soft Toy, 61243, 5 inches, Beige, Brown (Pack of 2)","","14.58","","14.62","0 %","","9030","67 %","31","Toys & Games","toy_display_on_website","# 79 | Top 0.07% | Stuffed Animals","3014","","","4.7","262","","-","2026/03/25 13:16","","14.06","15.43","15.38","0 %","-2 %","-4 %","no","no","13.18","21.48","","0 %","Amazon","","","","17.98","","100 %","100 %","100 %","100 %","100 %","100 %","100 %","100 %","1","1","1","1","0.19","0.88","1.43","6","5","21","yes","no","no","no","no","yes","no","14.08","","","10","","14.00","","","","","","2.64","15.02 %","2.19","","","","","","","","","","","","","no","","","","","100 %","","","","","","","","","","","","","","","","","","","0","","","","","2024/04/17","2024/04/10","Aurora-Bunny-61243-inches-Beige","Toys & Games","Stuffed Animals, Toys Category Page, Hardlines No Buyable Offer Test Q1 2016 sebasp@","Toys & Games › Soft Toys › Stuffed Animals","Toy","","","","61243","B0C1PG6XJ5","","TOY_FIGURE","Aurora World","AURORA","AURORA","AuroraWorld","61243","Size: Pack of 2; Style: Single;","Brown","Pack of 2","2","soft toy","","","","Single","Plush Fabric","","","","","","","","","","Product Bundle","2","","","","","0","no","","","yes","1096","200","1","1150","200","","","","","","no","no","","no","no","no","no","no","","","-","","",""
"B07Z5351S4","co.uk","https://m.media-amazon.com/images/I/51Mut6t-9zS.jpg;https://m.media-amazon.com/images/I/51Ah9mXZOSS.jpg;https://m.media-amazon.com/images/I/51fHS8yuD+S.jpg;https://m.media-amazon.com/images/I/51vmOzdw1hS.jpg;https://m.media-amazon.com/images/I/31xNix0if0L.jpg;https://m.media-amazon.com/images/I/41DtzlZ-DZS.jpg","Aurora Palm Pals, Ella the Bunny Soft Toy, 61243, 5 inches, Beige , Brown","400","7.29","7.29","7.32","0 %","10","9246","67 %","84","Toys & Games","toy_display_on_website","# 79 | Top 0.06% | Stuffed Animals","3015","-153 %","","4.7","262","-2 %","48","2026/03/25 13:16","","7.03","7.60","7.73","-1 %","-3 %","-4 %","no","no","2.73","12.07","1000","0 %","Amazon","","Available to ship in 1-2 days","1 day","8.99","LIST_PRICE","99 %","90 %","75 %","65 %","99 %","90 %","75 %","65 %","2","5","6","7","0.10","0.45","0.70","9","22","16","yes","no","no","no","no","yes","no","7.03","-4 %","1000","0","6.93","7.00","1 %","","8.81","","5","2.61","15.05 %","1.10","6.93","8.18","15 %","452","","","","","","","","","no","","","","","100 %","","","","","","","","","","","","","","","","8.99","8.99","0 %","10","10","0 %","","","2020/01/17","2020/01/01","Aurora-Bunny-61243-inches-Beige","Toys & Games","Stuffed Animals, Toys Category Page, Amazon Super | Toys, Top brands Toys, Hardlines No Buyable Offer Test Q1 2016 sebasp@","Toys & Games › Soft Toys › Stuffed Animals","Toy","","5034566612433","05034566612433","61243","B0C1PG6XJ5","B07Z548BFY,B07Z5417H2","TOY_FIGURE","Aurora World","AURORA","AURORA","AuroraWorld","61243","Size: 5 inches; Style: Single;","Brown","5 inches","1","soft toy","","","","Single","Polyester","","Unisex Adult","Cuddle toy for kids, relaxation for adults or decoration","","","10","","","","Toy","","","","","English","0","no","","","yes","1096","80","1","1150","100","Soft toy","","","","","no","no","","no","no","no","no","no","","","-","","",""
"B0928SFKS5","co.uk","https://m.media-amazon.com/images/I/618MR4tI3EL.jpg;https://m.media-amazon.com/images/I/51g3fQwjDJL.jpg;https://m.media-amazon.com/images/I/51BSrlaviQL.jpg;https://m.media-amazon.com/images/I/41XAfVQOcLL.jpg;https://m.media-amazon.com/images/I/61tlfUH2zLL.jpg;https://m.media-amazon.com/images/I/61QXTK6HdmL.jpg;https://m.media-amazon.com/images/I/41knv0EoJCL.jpg","Aurora, 33573, Palm Pals Juicy Strawberry 5In, Soft Toy, Red","300","6.99","6.99","7.28","4 %","16","4255","18 %","245","Toys & Games","toy_display_on_website","# 93 | Top 0.08% | Stuffed Animals","3488","27 %","","4.7","259","-9 %","-","2026/03/24 20:32","","7.01","7.07","7.47","0 %","0 %","0 %","no","no","5.99","17.58","209","1 %","Amazon","","In stock","","8.99","LIST_PRICE","92 %","80 %","86 %","68 %","92 %","80 %","86 %","68 %","3","5","7","8","0.29","0.51","0.64","4","36","16","yes","no","no","no","no","yes","no","7.02","0 %","209","0","6.99","6.94","-1 %","8.80","8.11","-9 %","63","2.67","15.02 %","1.05","8.99","7.97","-13 %","191","","","","","","","","","no","","","","","100 %","","","","","","","","","","","","","","","","8.99","8.99","0 %","16","18","11 %","","","2021/07/07","2021/06/26","AURORA-33573-Palm-Juicy-Strawberry","Toys & Games","Stuffed Animals, Toys Category Page, Kids Toys, Amazon Super | Toys, Top brands Toys, Hardlines No Buyable Offer Test Q1 2016 sebasp@","Toys & Games › Soft Toys › Stuffed Animals","Toy","","5034566335738","05034566335738","33573","","B0C85ZMZT3","TOY_FIGURE","Aurora","AURORA","AURORA","AuroraWorld","33573","","Red","12 cm x 10 cm x 9 cm","1","count","","","","Modern","Plush","","Unisex Children","","","","","","","","Toy","","","","2021-06-27","","0","no","","","no","1345","70","1","1080","70","","","","","","no","no","United Nations Regulatory Id: 140468;","no","no","no","no","no","","","-","","",""
